"filename", "language", "C#", "XML", "JSON", "Properties", "comment", "blank", "total"
"c:\Users\mkale\source\repos\SPD2021\Program\Algorithms\Carlier.cs", "C#", 225, 0, 0, 0, 38, 21, 284
"c:\Users\mkale\source\repos\SPD2021\Program\Algorithms\GreedyCarlier.cs", "C#", 102, 0, 0, 0, 0, 18, 120
"c:\Users\mkale\source\repos\SPD2021\Program\Algorithms\JohnsonAlgorithm.cs", "C#", 220, 0, 0, 0, 29, 31, 280
"c:\Users\mkale\source\repos\SPD2021\Program\Algorithms\NehAlgorithm.cs", "C#", 570, 0, 0, 0, 117, 135, 822
"c:\Users\mkale\source\repos\SPD2021\Program\Algorithms\PBAlgorithm.cs", "C#", 157, 0, 0, 0, 18, 24, 199
"c:\Users\mkale\source\repos\SPD2021\Program\Algorithms\Permutation.cs", "C#", 63, 0, 0, 0, 12, 8, 83
"c:\Users\mkale\source\repos\SPD2021\Program\Algorithms\Schrage.cs", "C#", 105, 0, 0, 0, 0, 14, 119
"c:\Users\mkale\source\repos\SPD2021\Program\Algorithms\SchragePMTN.cs", "C#", 137, 0, 0, 0, 9, 16, 162
"c:\Users\mkale\source\repos\SPD2021\Program\Algorithms\TSAlgorithm.cs", "C#", 505, 0, 0, 0, 29, 53, 587
"c:\Users\mkale\source\repos\SPD2021\Program\App.xaml", "XML", 0, 8, 0, 0, 0, 2, 10
"c:\Users\mkale\source\repos\SPD2021\Program\App.xaml.cs", "C#", 13, 0, 0, 0, 3, 3, 19
"c:\Users\mkale\source\repos\SPD2021\Program\AssemblyInfo.cs", "C#", 5, 0, 0, 0, 4, 2, 11
"c:\Users\mkale\source\repos\SPD2021\Program\MainWindow.xaml", "XML", 0, 50, 0, 0, 0, 1, 51
"c:\Users\mkale\source\repos\SPD2021\Program\MainWindow.xaml.cs", "C#", 172, 0, 0, 0, 10, 25, 207
"c:\Users\mkale\source\repos\SPD2021\Program\MakespansWindow.xaml", "XML", 0, 37, 0, 0, 0, 2, 39
"c:\Users\mkale\source\repos\SPD2021\Program\MakespansWindow.xaml.cs", "C#", 21, 0, 0, 0, 3, 3, 27
"c:\Users\mkale\source\repos\SPD2021\Program\Misc\ConsoleAllocator.cs", "C#", 37, 0, 0, 0, 0, 11, 48
"c:\Users\mkale\source\repos\SPD2021\Program\Misc\Gantt.cs", "C#", 63, 0, 0, 0, 1, 8, 72
"c:\Users\mkale\source\repos\SPD2021\Program\Misc\JobObject.cs", "C#", 14, 0, 0, 0, 0, 2, 16
"c:\Users\mkale\source\repos\SPD2021\Program\Misc\LoadData.cs", "C#", 94, 0, 0, 0, 0, 13, 107
"c:\Users\mkale\source\repos\SPD2021\Program\Misc\PriorityQueue.cs", "C#", 149, 0, 0, 0, 22, 21, 192
"c:\Users\mkale\source\repos\SPD2021\Program\Misc\PriorityQueue2.cs", "C#", 147, 0, 0, 0, 1, 19, 167
"c:\Users\mkale\source\repos\SPD2021\Program\Misc\RPQ.cs", "C#", 103, 0, 0, 0, 0, 6, 109
"c:\Users\mkale\source\repos\SPD2021\Program\Misc\Test.cs", "C#", 395, 0, 0, 0, 0, 56, 451
"c:\Users\mkale\source\repos\SPD2021\Program\RPQViewer.xaml", "XML", 0, 30, 0, 0, 0, 1, 31
"c:\Users\mkale\source\repos\SPD2021\Program\RPQViewer.xaml.cs", "C#", 21, 0, 0, 0, 0, 4, 25
"c:\Users\mkale\source\repos\SPD2021\Program\SPD1.csproj", "XML", 0, 840, 0, 0, 0, 4, 844
"c:\Users\mkale\source\repos\SPD2021\Program\Visualization.xaml", "XML", 0, 17, 0, 0, 0, 2, 19
"c:\Users\mkale\source\repos\SPD2021\Program\Visualization.xaml.cs", "C#", 171, 0, 0, 0, 25, 6, 202
"c:\Users\mkale\source\repos\SPD2021\Program\bin\Debug\net5.0-windows\SPD1.deps.json", "JSON", 0, 0, 23, 0, 0, 0, 23
"c:\Users\mkale\source\repos\SPD2021\Program\bin\Debug\net5.0-windows\SPD1.runtimeconfig.dev.json", "JSON", 0, 0, 9, 0, 0, 0, 9
"c:\Users\mkale\source\repos\SPD2021\Program\bin\Debug\net5.0-windows\SPD1.runtimeconfig.json", "JSON", 0, 0, 9, 0, 0, 0, 9
"c:\Users\mkale\source\repos\SPD2021\Program\bin\Release\net5.0-windows\SPD1.deps.json", "JSON", 0, 0, 23, 0, 0, 0, 23
"c:\Users\mkale\source\repos\SPD2021\Program\bin\Release\net5.0-windows\SPD1.runtimeconfig.dev.json", "JSON", 0, 0, 9, 0, 0, 0, 9
"c:\Users\mkale\source\repos\SPD2021\Program\bin\Release\net5.0-windows\SPD1.runtimeconfig.json", "JSON", 0, 0, 9, 0, 0, 0, 9
"c:\Users\mkale\source\repos\SPD2021\Program\obj\Debug\net5.0-windows\.NETCoreApp,Version=v5.0.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 1, 1, 5
"c:\Users\mkale\source\repos\SPD2021\Program\obj\Debug\net5.0-windows\App.g.cs", "C#", 43, 0, 0, 0, 18, 11, 72
"c:\Users\mkale\source\repos\SPD2021\Program\obj\Debug\net5.0-windows\App.g.i.cs", "C#", 43, 0, 0, 0, 18, 11, 72
"c:\Users\mkale\source\repos\SPD2021\Program\obj\Debug\net5.0-windows\MainWindow.g.cs", "C#", 317, 0, 0, 0, 15, 122, 454
"c:\Users\mkale\source\repos\SPD2021\Program\obj\Debug\net5.0-windows\MainWindow.g.i.cs", "C#", 317, 0, 0, 0, 15, 122, 454
"c:\Users\mkale\source\repos\SPD2021\Program\obj\Debug\net5.0-windows\MakespansWindow.g.cs", "C#", 61, 0, 0, 0, 15, 15, 91
"c:\Users\mkale\source\repos\SPD2021\Program\obj\Debug\net5.0-windows\MakespansWindow.g.i.cs", "C#", 61, 0, 0, 0, 15, 15, 91
"c:\Users\mkale\source\repos\SPD2021\Program\obj\Debug\net5.0-windows\RPQViewer.g.cs", "C#", 50, 0, 0, 0, 15, 12, 77
"c:\Users\mkale\source\repos\SPD2021\Program\obj\Debug\net5.0-windows\RPQViewer.g.i.cs", "C#", 50, 0, 0, 0, 15, 12, 77
"c:\Users\mkale\source\repos\SPD2021\Program\obj\Debug\net5.0-windows\SPD1.AssemblyInfo.cs", "C#", 11, 0, 0, 0, 10, 5, 26
"c:\Users\mkale\source\repos\SPD2021\Program\obj\Debug\net5.0-windows\SPD1.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 8, 0, 1, 9
"c:\Users\mkale\source\repos\SPD2021\Program\obj\Debug\net5.0-windows\SPD1.designer.deps.json", "JSON", 0, 0, 11, 0, 0, 0, 11
"c:\Users\mkale\source\repos\SPD2021\Program\obj\Debug\net5.0-windows\SPD1.designer.runtimeconfig.json", "JSON", 0, 0, 17, 0, 0, 0, 17
"c:\Users\mkale\source\repos\SPD2021\Program\obj\Debug\net5.0-windows\SPD1_Content.g.i.cs", "C#", 28, 0, 0, 0, 9, 4, 41
"c:\Users\mkale\source\repos\SPD2021\Program\obj\Debug\net5.0-windows\Visualization.g.cs", "C#", 75, 0, 0, 0, 15, 20, 110
"c:\Users\mkale\source\repos\SPD2021\Program\obj\Debug\net5.0-windows\Visualization.g.i.cs", "C#", 75, 0, 0, 0, 15, 20, 110
"c:\Users\mkale\source\repos\SPD2021\Program\obj\Release\net5.0-windows\.NETCoreApp,Version=v5.0.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 1, 1, 5
"c:\Users\mkale\source\repos\SPD2021\Program\obj\Release\net5.0-windows\App.g.cs", "C#", 43, 0, 0, 0, 18, 11, 72
"c:\Users\mkale\source\repos\SPD2021\Program\obj\Release\net5.0-windows\App.g.i.cs", "C#", 43, 0, 0, 0, 18, 11, 72
"c:\Users\mkale\source\repos\SPD2021\Program\obj\Release\net5.0-windows\MainWindow.g.cs", "C#", 317, 0, 0, 0, 15, 122, 454
"c:\Users\mkale\source\repos\SPD2021\Program\obj\Release\net5.0-windows\MainWindow.g.i.cs", "C#", 317, 0, 0, 0, 15, 122, 454
"c:\Users\mkale\source\repos\SPD2021\Program\obj\Release\net5.0-windows\MakespansWindow.g.cs", "C#", 61, 0, 0, 0, 15, 15, 91
"c:\Users\mkale\source\repos\SPD2021\Program\obj\Release\net5.0-windows\MakespansWindow.g.i.cs", "C#", 61, 0, 0, 0, 15, 15, 91
"c:\Users\mkale\source\repos\SPD2021\Program\obj\Release\net5.0-windows\RPQViewer.g.cs", "C#", 50, 0, 0, 0, 15, 12, 77
"c:\Users\mkale\source\repos\SPD2021\Program\obj\Release\net5.0-windows\RPQViewer.g.i.cs", "C#", 50, 0, 0, 0, 15, 12, 77
"c:\Users\mkale\source\repos\SPD2021\Program\obj\Release\net5.0-windows\SPD1.AssemblyInfo.cs", "C#", 11, 0, 0, 0, 10, 5, 26
"c:\Users\mkale\source\repos\SPD2021\Program\obj\Release\net5.0-windows\SPD1.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 8, 0, 1, 9
"c:\Users\mkale\source\repos\SPD2021\Program\obj\Release\net5.0-windows\SPD1.designer.deps.json", "JSON", 0, 0, 11, 0, 0, 0, 11
"c:\Users\mkale\source\repos\SPD2021\Program\obj\Release\net5.0-windows\SPD1.designer.runtimeconfig.json", "JSON", 0, 0, 17, 0, 0, 0, 17
"c:\Users\mkale\source\repos\SPD2021\Program\obj\Release\net5.0-windows\Visualization.g.cs", "C#", 75, 0, 0, 0, 15, 20, 110
"c:\Users\mkale\source\repos\SPD2021\Program\obj\Release\net5.0-windows\Visualization.g.i.cs", "C#", 75, 0, 0, 0, 15, 20, 110
"c:\Users\mkale\source\repos\SPD2021\Program\obj\SPD1.csproj.nuget.dgspec.json", "JSON", 0, 0, 69, 0, 0, 0, 69
"c:\Users\mkale\source\repos\SPD2021\Program\obj\SPD1.csproj.nuget.g.props", "XML", 0, 19, 0, 0, 0, 0, 19
"c:\Users\mkale\source\repos\SPD2021\Program\obj\SPD1.csproj.nuget.g.targets", "XML", 0, 6, 0, 0, 0, 0, 6
"c:\Users\mkale\source\repos\SPD2021\Program\obj\project.assets.json", "JSON", 0, 0, 75, 0, 0, 0, 75
"Total", "-", 5729, 1007, 282, 16, 664, 1249, 8947